PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
DemoProjectECMAccessManagementCache,SP1,Stateless,ecmaccessmanagementcache.admin.keys:_get,SP1.1,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.pub:getAuthorizationData,SP1.2,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.pub:getAuthorizationListsForUser,SP1.3,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.pub:isTechnicalUserOnAuthConfig,SP1.4,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.adapter:callGetAuthorizationData,SP1.5,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.adapter:callGetAuthorizationListsForUser,SP1.6,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.authorizationData:isTechnicalUserOnAuthConfig,SP1.7,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.authorizationData:readAuthorizationData,SP1.8,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:configStringToServices,SP1.9,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:evalUserAuthConfig,SP1.10,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:getServicesAndOperationsForUser,SP1.11,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:servicesToConfigString,SP1.12,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.cache:resetUserDataAuthServiceCache,SP1.13,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.errorHandling:checkAuthorizationDataResponse,SP1.14,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.errorHandling:checkAuthorizationListsForUsersResponse,SP1.15,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service:getAuthorizationData,SP1.16,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service:getAuthorizationListsForUser,SP1.17,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.map:mapAuthorizationFlagList,SP1.18,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.service.validation:validateAuthorizationDataInput,SP1.19,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.startup:init,SP1.20,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.startup:initACLs,SP1.21,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.startup:initGlobals,SP1.22,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.startup:initSchedulers,SP1.23,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.util.config:getCacheConfig,SP1.24,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.util.config:getConfiguration,SP1.25,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.util:createCacheKey,SP1.26,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.util:getTopLevelService,SP1.27,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.util:substringBetween,SP1.28,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.ws.consumer.UserDataAuthService_.connectors:UserDataAuthService_getAuthorizationData,SP1.29,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.ws.consumer.UserDataAuthService_.connectors:UserDataAuthService_getAuthorizationListsForUser,SP1.30,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.ws.consumer.UserDataAuthService_.responseServices:UserDataAuthService_getAuthorizationData_Response,SP1.31,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.ws.consumer.UserDataAuthService_.responseServices:UserDataAuthService_getAuthorizationListsForUser_Response,SP1.32,true,"true",false,1
DemoProjectECMAccessManagementCache,SP1,Stateless,uniqa.integration.ecm.accessmanagement.ws.consumer.UserDataAuthService_.responseServices:genericFault_Response,SP1.33,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,ecmaccessmanagementcache.admin.keys:_get,SP2.1,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.pub:getAuthorizationData,SP2.2,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.pub:getAuthorizationListsForUser,SP2.3,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.pub:isTechnicalUserOnAuthConfig,SP2.4,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.adapter:callGetAuthorizationData,SP2.5,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.adapter:callGetAuthorizationListsForUser,SP2.6,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.authorizationData:isTechnicalUserOnAuthConfig,SP2.7,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.authorizationData:readAuthorizationData,SP2.8,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:configStringToServices,SP2.9,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:evalUserAuthConfig,SP2.10,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:getServicesAndOperationsForUser,SP2.11,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.authorizationData.userAuthConfig:servicesToConfigString,SP2.12,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.cache:resetUserDataAuthServiceCache,SP2.13,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.errorHandling:checkAuthorizationDataResponse,SP2.14,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.errorHandling:checkAuthorizationListsForUsersResponse,SP2.15,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service:getAuthorizationData,SP2.16,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service:getAuthorizationListsForUser,SP2.17,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.map:mapAuthorizationFlagList,SP2.18,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.service.validation:validateAuthorizationDataInput,SP2.19,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.startup:init,SP2.20,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.startup:initACLs,SP2.21,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.startup:initGlobals,SP2.22,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.startup:initSchedulers,SP2.23,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.util.config:getCacheConfig,SP2.24,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.util.config:getConfiguration,SP2.25,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.util:createCacheKey,SP2.26,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.util:getTopLevelService,SP2.27,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.util:substringBetween,SP2.28,true,"true",false,1
DemoProjectECMAccessManagementCache,SP2,Pipeline Save Restore,uniqa.integration.ecm.accessmanagement.ws.consumer.UserDataAuthService_.connectors:UserDataAuthService_getAuthorizationData,SP2.29,true,"true",false,1
